iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
PLW,0.006749076,0.013498153,0.014208582,0.05,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,0.005113194,0.010226389,0.014208582,0.280266747,0,0,25,80,7,0,0,0,0.246666667,0,0,0,0,20,0,0,0,100,100,0,0
PNG,0.007099713,0.014199427,0.014208582,0.00064433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY,0.015501237,0.031002474,0.042625746,0.272681953,0,0,50,20,6,33,0,0,0.233333333,0,0,0,0,0,0,0,0,100,100,0,0
PER,0.135471014,0.201562404,0.27286231,0.261303607,0,0,50,20,1,33,0.069379624,0.092096845,0.246666667,0,0,0,0,20,0,0,100,0,100,0,0
PHL,0.430825066,0.808071089,1.27486567,0.366151973,2,0,50,60,3,33,0.053579043,0.058238091,0.08,0,0,0,0,20,0,0,0,100,0,0,0
POL,0.989996816,0.573646537,1.065656462,0.461696562,0,2,50,100,1,33,1.406347095,2.048078294,0.313333333,5,0,7,0,20,0,0,100,100,100,0,0
PRT,0.07116147,0.008862046,0.014208582,0.376289238,0,0,50,80,21,0,0.133460895,0.194360526,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
QAT,0.009838282,0.007372975,0.014208582,0.481090025,0,0,50,100,9,33,0.012303588,0.01447481,0.15,0,0,0,0,0,0,0,100,0,0,0,25
ROU,0.517492,0.338314505,0.581630794,0.418334605,0,1,75,40,19,33,0.696669495,1.014567226,0.313333333,3,0,3,0,20,0,0,100,100,100,0,0
